UniqueLog,SiteName,LogID,splot1,X1,Y1,splot2,X2,Y2,Direction,Length,Diameter,Log.BA,logdecomp
763,W-DW,37,20,70.4,4.8,21,85.6,1.6,102,15.5,1.280,19.882,2
764,W-DW,38,21,100,16.8,22,85.3,21,286,15.3,0.880,13.454,1
765,W-DW,39,21,81.7,0,20,76.8,5.1,316,7.1,0.880,6.224,2
766,W-FR,1,2,5.8,22.6,2,11.8,23.9,78,6.1,0.280,1.720,3
767,W-FR,2,3,6.5,55.8,3,2.8,49.6,211,7.2,0.535,3.861,2
768,W-FR,3,3,10.7,53.9,3,0,54.1,271,10.7,0.573,6.132,1
769,W-FR,4,3,14.4,54.4,3,8.2,54.2,268,6.2,0.547,3.396,1
770,W-FR,5,3,2.6,56.3,4,5.8,61.6,31,6.2,0.427,2.641,1
771,W-FR,6,5,14.4,81.8,5,14.3,88,359,6.2,0.522,3.237,1
772,W-FR,7,6,30.9,92.7,6,34.4,88.4,141,5.5,0.357,1.977,2
773,W-FR,8,7,33.2,77.7,6,29.4,82.2,320,5.9,0.547,3.225,1
774,W-FR,9,8,31.7,46.8,4,9.5,69,315,31.4,1.108,34.777,2
775,W-FR,10,10,25.9,9.7,10,30.4,13.9,47,6.2,0.573,3.527,1
776,W-FR,11,11,44.1,17.8,10,37.5,17.6,268,6.6,0.357,2.354,2
777,W-FR,12,11,44.7,17.7,12,44.7,35.3,0.01,17.6,0.535,9.412,1
778,W-FR,13,12,41,20.9,11,48.5,14.9,129,9.6,0.401,3.852,3
779,W-FR,14,13,44.7,54.2,8,35,55.7,279,9.8,0.777,7.623,1
780,W-FR,15,13,42.1,51.8,13,48.3,56.3,54,7.7,0.535,4.097,3
781,W-FR,16,13,43.9,44.6,13,45.3,52.3,10,7.8,0.458,3.587,1
782,W-FR,17,13,41,40.5,3,9.8,51.2,289,33.0,0.853,28.137,2
783,W-FR,18,13,54,43.1,8,35.7,40.2,261,18.5,0.465,8.611,1
784,W-FR,19,15,47.2,85.4,5,18.8,96.9,292,30.6,0.840,25.748,1
785,W-FR,20,15,50,90,16,60.2,92.4,77,10.5,0.802,8.405,1
786,W-FR,21,15,50.5,90.5,15,40.1,90.1,268,10.4,0.280,2.915,1
787,W-FR,22,16,68.3,94.8,16,68.5,100,2,5.2,0.471,2.452,1
788,W-FR,23,16,71.5,82.5,16,77.4,82.9,86,5.9,0.299,1.769,2
789,W-FR,24,16,78.5,89.5,16,69.5,83.7,237,10.7,0.312,3.340,2
790,W-FR,25,16,77.2,88.1,25,80.8,93.9,32,6.8,0.286,1.956,1
791,W-FR,26,17,73.8,75.2,17,66.3,77.5,287,7.8,0.423,3.321,2
792,W-FR,27,17,73.8,73.5,16,70.8,81.7,340,8.7,0.528,4.614,2
793,W-FR,28,17,76.4,69.9,16,79.5,87.5,10,17.9,0.764,13.652,2
794,W-FR,29,18,79.4,53.5,23,84.5,50.1,124,6.1,0.503,3.083,2
795,W-FR,30,18,76.7,46.5,18,77.4,54.4,5,7.9,1.146,9.088,1
796,W-FR,31,19,73.9,35.4,11,55.1,17.2,226,26.2,0.828,21.655,1
797,W-FR,32,19,60.6,23.2,13,45.6,43.9,324,25.6,0.433,11.066,1
798,W-FR,33,19,64.7,21.7,19,71.1,21.4,93,6.4,0.337,2.162,3
799,W-FR,34,20,62.8,2.8,19,71.1,28.3,18,26.8,0.980,26.291,3
800,W-FR,35,21,88,0,21,80.9,7.9,318,10.6,0.783,8.317,1
801,W-FR,36,21,90.2,4,21,81.2,14,318,13.5,0.840,11.306,2
802,W-FR,37,21,88.3,10.2,21,94,6.3,124,6.9,0.477,3.298,2
803,W-FR,38,21,96.3,5,21,95.3,14.4,354,9.5,0.484,4.574,2
804,W-FR,39,22,95.4,38.4,24,92.9,62.3,354,24.0,0.802,19.276,2
805,W-FR,40,22,87.2,26.7,23,100,42.9,39,20.6,1.337,27.602,2
806,W-FR,41,23,83.3,57.7,17,78.9,75.2,346,18.0,0.993,17.921,2
807,W-FR,42,23,81.9,46.1,23,80,51.9,342,6.1,0.700,4.274,1
808,W-FR,43,23,80.7,40.1,18,79.6,46.4,350,6.4,0.267,1.710,1
809,W-FR,44,23,99.1,50.7,23,94.7,58.9,332,9.3,0.662,6.161,1
810,W-FR,45,24,86.9,79.5,16,62.7,82,276,24.3,0.668,16.263,1
811,W-FR,46,24,98.6,69.2,24,97.5,76.4,351,7.3,0.528,3.849,1
812,W-FR,47,24,99.9,72.3,25,97.7,86.3,351,14.2,0.611,8.661,1
813,W-FR,48,24,81.5,69.9,17,73.6,73.4,294,8.6,0.248,2.145,2
814,W-FR,49,24,90.4,60.4,23,85.2,56,230,6.8,0.350,2.385,1
815,W-FR,50,25,89.5,98,25,81.6,99.3,279,8.0,0.312,2.497,3
816,W-FR,51,25,90.5,93,25,100,100,58,11.8,0.458,5.409,2
817,W-FR,52,25,100,86.3,25,94.3,92.6,318,8.5,0.866,7.356,2
818,W-FR,53,25,88.6,83.7,24,88.6,76.8,180,6.9,0.656,4.524,1
819,W-SU,1,1,14.7,4.6,9,38.6,37.5,36,40.7,0.580,23.586,2
820,W-SU,2,2,11.7,29.1,2,0.3,30.3,276,11.5,0.310,3.554,1
821,W-SU,3,2,0,32.7,9,23.8,28.9,99,24.1,0.350,8.436,1
822,W-SU,4,2,7.3,39.2,2,10.9,34.2,144,6.2,0.207,1.280,2
823,W-SU,5,3,15.5,52.1,4,0,62.6,303,18.7,0.620,11.607,1
824,W-SU,6,4,18.9,66.8,7,22.9,71.4,41,6.1,0.760,4.633,1
825,W-SU,7,4,0.3,68.6,4,7.8,68.9,88,7.5,0.311,2.333,2
826,W-SU,8,5,12.2,97.8,5,4.9,98.4,275,7.3,0.230,1.685,2
827,W-SU,9,6,29,100,6,25,95.8,223,5.8,0.210,1.218,2
828,W-SU,10,6,39.3,100,6,29.2,84.4,213,18.6,0.230,4.274,3
829,W-SU,11,7,38.2,65.8,7,31.1,62.9,248,7.7,0.350,2.698,1
830,W-SU,12,8,33.8,56.7,8,26.4,49.5,226,10.3,0.360,3.709,2
831,W-SU,13,9,31.1,20.1,9,37.6,33.4,26,14.8,0.260,3.849,3
832,W-SU,14,9,31.9,30.7,2,16.4,28,260,15.7,0.460,7.235,1
833,W-SU,15,10,30.5,10.5,10,20.3,1,227,13.9,0.240,3.338,2
834,W-SU,16,10,30.6,15.8,1,11.2,6.3,244,21.6,0.349,7.527,3
835,W-SU,17,11,52.9,5.2,11,47.6,3.7,254,5.5,0.440,2.423,1
836,W-SU,18,11,49,0,11,43.4,11.4,334,12.7,0.380,4.819,1
837,W-SU,19,11,50.6,16.9,10,32.7,2.9,232,22.7,0.520,11.790,1
838,W-SU,20,12,40,22.8,10,39.4,11.3,183,11.5,0.250,2.879,2
839,W-SU,21,12,59.3,26.5,19,67.1,38,34,13.9,0.280,3.891,2
840,W-SU,22,12,46.6,28.7,11,41.7,13.8,198,15.7,0.620,9.725,1
841,W-SU,23,13,53,40.4,10,36.6,19.4,218,26.6,0.312,8.313,3
842,W-SU,24,13,56.6,42.7,13,49.6,51.7,322,11.4,0.267,3.040,3
843,W-SU,26,15,58.3,95.1,16,63.9,99,55,6.8,0.248,1.688,2
844,W-SU,27,16,65.7,85.1,14,57.6,77.3,226,11.2,0.592,6.631,1
845,W-SU,28,16,70.9,84.2,16,78.5,97.8,29,15.6,0.828,12.900,1
846,W-SU,29,17,72.8,69.8,17,65.5,70.6,276,7.3,0.216,1.586,1
847,W-SU,30,17,61.7,65.5,14,56.5,60.5,226,7.2,0.277,1.995,1
848,W-SU,31,19,65.1,22.7,12,41.1,25.2,276,24.1,0.452,10.907,3
849,W-SU,33,19,72.4,39.6,23,80.1,46.5,48,10.3,0.251,2.588,3
850,W-SU,34,20,71.7,10.7,11,50.2,0.7,245,23.7,0.357,8.470,2
851,W-SU,35,20,68.3,13.4,11,58.1,6.5,236,12.3,0.630,7.759,1
852,W-SU,36,21,93.8,0,21,83.5,14.7,325,17.9,1.019,18.311,2
853,W-SU,37,21,83.9,16.4,19,75.4,20.7,297,9.5,0.538,5.125,2
854,W-SU,38,21,85.8,15.9,22,82.7,24.5,340,9.1,0.532,4.879,2
855,W-SU,39,21,85.8,15.9,13,57.6,43.1,314,39.2,0.395,15.476,2
856,W-SU,40,21,95.1,16.5,21,83.7,5.5,226,15.8,0.859,13.575,1
857,W-SU,41,21,92.9,10.8,22,87.5,34.4,347,24.2,0.427,10.320,2
858,W-SU,42,21,81,19.1,19,76.6,23.8,317,6.4,0.573,3.669,2
859,W-SU,43,22,86.7,20.3,22,91.1,25.5,40,6.8,0.248,1.689,3
860,W-SU,44,22,88.7,31.8,22,89.7,25.2,171,6.7,0.216,1.439,2
861,W-SU,45,23,94,44.9,23,99.9,50.6,46,8.2,0.468,2.808,3
862,W-SU,46,24,97.9,66.4,24,98.8,61.1,170,5.4,0.608,2.964,3
863,W-SU,47,24,85.2,64.2,17,78.1,64.9,276,7.1,0.255,1.819,1
864,W-SU,48,24,85.6,71.3,24,81.1,73.9,300,5.2,0.210,1.091,2
865,W-SU,49,24,89.3,77.3,25,93.3,100,10,23.0,0.614,14.153,1
866,W-SU,50,24,89.4,77.2,24,99.6,74.7,104,10.5,0.360,3.781,1
867,W-SU,51,25,100,81.6,24,90.4,78.1,250,10.2,0.274,2.783,2
868,W-SU,52,25,94.2,90.5,25,97.2,99.6,18,9.6,0.331,3.172,1
869,W-SU,53,25,100,99.3,16,77.1,93.6,256,23.6,0.280,6.608,3
